text,label
minimal mohon bantuan nya order saya belum diambil berng nya oleh driver gojek tetapi status nya sudah dalam proses pengantaran,neutral
prediksi persija jakarta vs psis semarang 18 september 2018,neutral
kebakaran hutan di sumbing meluas,neutral
saya sudah registrasi tapi tidak dapat sms dari 5111,neutral
ketua dpr ingin agresivitas berutang harus dikontrol,neutral
memasang foto editan rizieq pakai topi santa claus ade armando dipolisikan,neutral
saya menjadi seorang editor di national geographic indonesia,neutral
tenggak miras oplosan dua pelajar di tasikmalaya tewas,neutral
periksa setya novanto kpk telusuri keterlibatan pihak lain di korupsi ektp,neutral
dia biasanya membeli tisu paseo,neutral
tweeps bila kamu selesai transaksi mengirim pastikan cek kembali alamat di resi sebelum meninggalkan counter jne pondok timur ya,neutral
info refundable atau tidak sudah terdapat di pesan summary dan saat pengisian data penumpang ya,neutral
merefleksikan penyelenggaraan pelayan publik di kepris,neutral
biar besok jadi anggota dpr,neutral
tokohtokoh penggerak gerakan partai pki indonesia sby iwan skeneder paul dundes woolvowiz oliver north calvin haris agung sasongko putra mas agung agung priyambodo eko pratomo curup jehan dan si kopral pki tri sutrisno cs,neutral
gus mus bela dan doakan menteri susi pudjiastuti via,neutral
sudah di revisi om dengan,neutral
berita indonesia perdagangan bei ditutup presiden bangga ihsg tembus 6355,neutral
